iter	Passed	Remaining
570	22392	95255
571	22430	95211
572	22467	95161
573	22506	95124
574	22544	95078
575	22581	95030
576	22618	94981
577	22657	94942
578	22695	94899
579	22736	94864
580	22773	94819
581	22811	94771
582	22849	94728
583	22886	94682
584	22924	94636
585	22963	94596
586	23000	94549
587	23037	94499
588	23074	94453
589	23112	94407
590	23151	94368
591	23189	94325
592	23227	94280
593	23264	94234
594	23302	94190
595	23339	94141
596	23377	94097
597	23415	94052
598	23452	94005
599	23489	93959
600	23528	93917
601	23565	93869
602	23601	93820
603	23641	93781
604	23679	93738
605	23716	93690
606	23753	93645
607	23791	93600
608	23830	93560
609	23868	93517
610	23904	93467
611	23942	93422
612	23979	93375
613	24017	93331
614	24055	93290
615	24093	93245
616	24131	93200
617	24169	93156
618	24206	93109
619	24243	93065
620	24282	93025
621	24321	92983
622	24358	92939
623	24396	92895
624	24434	92851
625	24473	92810
626	24511	92769
627	24549	92724
628	24586	92677
629	24624	92636
630	24662	92593
631	24700	92549
632	24737	92503
633	24775	92459
634	24814	92417
635	24851	92372
636	24888	92326
637	24926	92284
638	24965	92244
639	25004	92203
640	25042	92160
641	25080	92116
642	25117	92071
643	25154	92026
644	25193	91987
645	25231	91943
646	25269	91901
647	25306	91853
648	25343	91807
649	25380	91760
650	25420	91723
651	25459	91684
652	25496	91640
653	25534	91595
654	25572	91552
655	25610	91509
656	25651	91477
657	25691	91443
658	25728	91397
659	25766	91354
660	25804	91311
661	25843	91270
662	25881	91229
663	25919	91188
664	25957	91143
665	25995	91100
666	26034	91063
667	26078	91040
668	26123	91020
669	26163	90986
670	26203	90950
671	26241	90906
672	26278	90862
673	26317	90822
674	26355	90779
675	26391	90730
676	26428	90684
677	26465	90639
678	26504	90597
679	26541	90553
680	26578	90506
681	26615	90460
682	26654	90421
683	26692	90378
684	26729	90335
685	26766	90287
686	26804	90244
687	26841	90199
688	26878	90154
689	26915	90106
690	26953	90065
691	26992	90028
692	27030	89985
693	27068	89942
694	27106	89899
695	27144	89857
696	27182	89814
697	27220	89773
698	27257	89728
699	27294	89681
700	27331	89637
701	27370	89597
702	27409	89558
703	27446	89514
704	27484	89472
705	27521	89423
706	27558	89380
707	27596	89337
708	27637	89306
709	27674	89261
710	27713	89219
711	27749	89172
712	27787	89130
713	27826	89092
714	27865	89052
715	27902	89006
716	27940	88964
717	27976	88917
718	28013	88871
719	28051	88829
720	28090	88789
721	28127	88745
722	28163	88698
723	28201	88654
724	28238	88609
725	28277	88572
726	28314	88526
727	28351	88480
728	28387	88433
729	28424	88388
730	28462	88347
731	28502	88310
732	28539	88265
733	28577	88223
734	28616	88184
735	28654	88143
736	28694	88106
737	28733	88069
738	28770	88023
739	28807	87979
740	28843	87933
741	28881	87890
742	28918	87845
743	28958	87810
744	28998	87773
745	29037	87735
746	29077	87699
747	29117	87663
748	29154	87620
749	29191	87574
750	29229	87532
751	29267	87490
752	29304	87447
753	29342	87403
754	29379	87359
755	29417	87319
756	29455	87275
757	29493	87236
758	29530	87192
759	29568	87149
760	29609	87115
761	29647	87074
762	29687	87039
763	29726	87001
764	29763	86957
765	29801	86915
766	29840	86877
767	29878	86833
768	29915	86788
769	29953	86749
770	29990	86703
771	30028	86662
772	30068	86626
773	30106	86586
774	30143	86540
775	30180	86497
776	30219	86459
777	30257	86416
778	30295	86374
779	30332	86331
780	30369	86287
781	30407	86246
782	30446	86205
783	30483	86163
784	30521	86120
785	30558	86078
786	30598	86040
787	30636	86000
788	30675	85962
789	30712	85916
790	30749	85872
791	30786	85828
792	30823	85784
793	30860	85740
794	30898	85700
795	30935	85655
796	30972	85611
797	31009	85568
798	31046	85523
799	31062	85422
800	31101	85384
801	31140	85343
802	31177	85301
803	31214	85256
804	31251	85213
805	31289	85171
806	31328	85134
807	31366	85092
808	31403	85048
809	31439	85003
810	31477	84961
811	31513	84916
812	31553	84880
813	31592	84841
814	31629	84798
815	31667	84755
816	31705	84715
817	31744	84677
818	31782	84636
819	31819	84592
820	31856	84549
821	31893	84506
822	31930	84462
823	31968	84420
824	32004	84376
825	32042	84334
826	32079	84291
827	32116	84248
828	32154	84207
829	32195	84173
830	32232	84129
831	32269	84088
832	32306	84044
833	32317	83932
834	32354	83889
835	32391	83845
836	32428	83803
837	32466	83761
838	32502	83717
839	32539	83673
840	32579	83636
841	32618	83599
842	32657	83561
843	32696	83524
844	32734	83482
845	32771	83440
846	32809	83398
847	32848	83361
848	32886	83320
849	32923	83277
850	32960	83235
851	32997	83191
852	33034	83148
853	33073	83108
854	33113	83073
855	33152	83035
856	33190	82995
857	33229	82956
858	33268	82919
859	33306	82877
860	33342	82833
861	33378	82788
862	33415	82745
863	33455	82708
864	33493	82668
865	33533	82634
866	33575	82601
867	33615	82566
868	33653	82526
869	33690	82483
870	33729	82445
871	33767	82404
872	33804	82362
873	33841	82319
874	33879	82278
875	33917	82238
876	33955	82197
877	33991	82152
878	34029	82111
879	34066	82069
880	34105	82031
881	34144	81992
882	34181	81949
883	34217	81905
884	34255	81863
885	34292	81821
886	34330	81780
887	34367	81739
888	34404	81696
889	34442	81655
890	34480	81615
891	34518	81573
892	34556	81533
893	34596	81499
894	34634	81459
895	34672	81418
896	34709	81375
897	34745	81331
898	34784	81293
899	34822	81252
900	34859	81210
901	34897	81168
902	34934	81127
903	34972	81085
904	35010	81047
905	35050	81010
906	35090	80975
907	35131	80941
908	35170	80904
909	35209	80864
910	35226	80777
911	35264	80736
912	35301	80695
913	35338	80651
914	35375	80609
915	35412	80568
916	35451	80528
917	35488	80486
918	35525	80445
919	35564	80406
920	35603	80368
921	35642	80331
922	35679	80289
923	35717	80247
924	35754	80205
925	35790	80162
926	35827	80119
927	35865	80078
928	35904	80041
929	35942	80001
930	35979	79959
931	36017	79919
932	36054	79877
933	36093	79837
934	36131	79797
935	36168	79756
936	36205	79713
937	36241	79669
938	36279	79630
939	36316	79588
940	36354	79548
941	36392	79506
942	36428	79463
943	36466	79423
944	36506	79386
945	36544	79347
946	36583	79309
947	36621	79270
948	36659	79228
949	36696	79187
950	36737	79153
951	36775	79112
952	36812	79072
953	36850	79032
954	36888	78990
955	36925	78948
956	36964	78912
957	37004	78876
958	37042	78834
959	37079	78793
960	37116	78751
961	37155	78715
962	37193	78674
963	37232	78635
964	37270	78595
965	37307	78554
966	37344	78512
967	37382	78471
968	37419	78429
969	37455	78386
970	37493	78346
971	37530	78304
972	37569	78265
973	37608	78228
974	37646	78188
975	37684	78148
976	37721	78107
977	37758	78065
978	37797	78027
979	37836	77989
980	37873	77948
981	37912	77909
982	37948	77865
983	37985	77824
984	38024	77785
985	38063	77747
986	38100	77706
987	38138	77666
988	38175	77625
989	38212	77583
990	38251	77544
991	38290	77507
992	38328	77468
993	38365	77425
994	38402	77383
995	38439	77341
996	38479	77305
997	38517	77266
998	38558	77232
999	38595	77191
1000	38635	77154
1001	38673	77114
1002	38710	77074
1003	38747	77032
1004	38785	76991
1005	38822	76951
1006	38861	76911
1007	38898	76870
1008	38915	76788
1009	38952	76747
1010	38989	76707
1011	39026	76664
1012	39064	76625
1013	39101	76584
1014	39139	76542
1015	39177	76503
1016	39214	76462
1017	39251	76420
1018	39288	76378
1019	39326	76340
1020	39364	76300
1021	39402	76260
1022	39439	76219
1023	39478	76180
1024	39515	76139
1025	39555	76104
1026	39594	76065
1027	39631	76025
1028	39669	75985
1029	39706	75943
1030	39743	75902
1031	39781	75861
1032	39818	75821
1033	39855	75780
1034	39893	75740
1035	39931	75699
1036	39968	75658
1037	40007	75620
1038	40046	75583
1039	40084	75543
1040	40122	75503
1041	40158	75461
1042	40199	75426
1043	40237	75388
1044	40275	75348
1045	40313	75307
1046	40349	75265
1047	40387	75224
1048	40425	75185
1049	40462	75145
1050	40502	75108
1051	40542	75072
1052	40580	75033
1053	40619	74994
1054	40656	74954
1055	40693	74913
1056	40730	74871
1057	40767	74830
1058	40804	74788
1059	40843	74751
1060	40881	74712
1061	40919	74672
1062	40956	74630
1063	40993	74589
1064	41033	74553
1065	41072	74516
1066	41110	74476
1067	41146	74434
1068	41184	74394
1069	41222	74353
1070	41260	74314
1071	41298	74274
1072	41336	74235
1073	41372	74193
1074	41410	74152
1075	41446	74109
1076	41482	74068
1077	41508	74006
1078	41547	73968
1079	41585	73929
1080	41622	73889
1081	41660	73848
1082	41696	73806
1083	41733	73765
1084	41772	73727
1085	41811	73689
1086	41848	73648
1087	41884	73606
1088	41921	73565
1089	41959	73524
1090	41998	73487
1091	42036	73448
1092	42073	73407
1093	42111	73367
1094	42148	73326
1095	42186	73287
1096	42224	73248
1097	42261	73207
1098	42298	73166
1099	42335	73125
1100	42373	73085
1101	42412	73047
1102	42449	73006
1103	42486	72966
1104	42526	72930
1105	42564	72891
1106	42603	72853
1107	42642	72815
1108	42680	72776
1109	42718	72736
1110	42754	72694
1111	42792	72654
1112	42829	72614
1113	42869	72577
1114	42907	72537
1115	42944	72497
1116	42980	72455
1117	43017	72414
1118	43055	72374
1119	43092	72333
1120	43131	72295
1121	43168	72255
1122	43205	72214
1123	43242	72172
1124	43279	72131
1125	43317	72093
1126	43357	72056
1127	43395	72018
1128	43433	71978
1129	43469	71936
1130	43507	71897
1131	43545	71858
1132	43583	71818
1133	43620	71778
1134	43657	71737
1135	43694	71696
1136	43732	71656
1137	43768	71614
1138	43805	71573
1139	43841	71530
1140	43878	71489
1141	43916	71450
1142	43953	71410
1143	43993	71373
1144	44031	71334
1145	44069	71294
1146	44106	71254
1147	44142	71213
1148	44179	71172
1149	44217	71132
1150	44255	71093
1151	44293	71054
1152	44330	71014
1153	44368	70974
1154	44409	70939
1155	44448	70902
1156	44485	70861
1157	44525	70825
1158	44564	70787
1159	44601	70747
1160	44638	70706
1161	44675	70665
1162	44712	70624
1163	44750	70586
1164	44787	70545
1165	44824	70504
1166	44862	70464
1167	44901	70428
1168	44939	70389
1169	44976	70348
1170	45014	70308
1171	45052	70269
1172	45091	70232
1173	45129	70193
1174	45166	70152
1175	45204	70112
1176	45241	70073
1177	45278	70032
1178	45317	69994
1179	45356	69957
1180	45394	69917
1181	45430	69875
1182	45467	69834
1183	45506	69797
1184	45545	69760
1185	45585	69723
1186	45623	69683
1187	45660	69643
1188	45698	69604
1189	45735	69563
1190	45773	69525
1191	45811	69485
1192	45850	69448
1193	45887	69408
1194	45925	69368
1195	45962	69327
1196	46000	69288
1197	46037	69248
1198	46075	69208
1199	46112	69168
1200	46150	69129
1201	46187	69089
1202	46225	69050
1203	46262	69009
1204	46299	68969
1205	46336	68928
1206	46374	68889
1207	46412	68849
1208	46450	68810
1209	46488	68772
1210	46527	68734
1211	46564	68694
1212	46602	68654
1213	46638	68613
1214	46676	68574
1215	46714	68535
1216	46752	68495
1217	46789	68455
1218	46827	68415
1219	46863	68374
1220	46902	68337
1221	46940	68297
1222	46978	68259
1223	47016	68220
1224	47054	68181
1225	47091	68140
1226	47130	68103
1227	47167	68062
1228	47205	68024
1229	47242	67983
1230	47280	67943
1231	47317	67903
1232	47354	67863
1233	47391	67823
1234	47428	67782
1235	47466	67743
1236	47506	67706
1237	47544	67668
1238	47582	67628
1239	47619	67588
1240	47656	67548
1241	47693	67508
1242	47731	67469
1243	47771	67432
1244	47810	67396
1245	47847	67355
1246	47884	67314
1247	47922	67275
1248	47960	67236
1249	47997	67196
1250	48034	67155
1251	48072	67117
1252	48109	67076
1253	48147	67037
1254	48184	66997
1255	48222	66959
1256	48260	66919
1257	48298	66880
1258	48335	66840
1259	48352	66772
1260	48390	66734
1261	48427	66693
1262	48466	66655
1263	48505	66617
1264	48542	66577
1265	48580	66538
1266	48619	66501
1267	48656	66461
1268	48692	66419
1269	48729	66378
1270	48766	66339
1271	48806	66303
1272	48846	66266
1273	48886	66230
1274	48922	66189
1275	48960	66150
1276	48998	66111
1277	49037	66073
1278	49075	66035
1279	49112	65995
1280	49149	65955
1281	49166	65887
1282	49203	65847
1283	49241	65808
1284	49279	65770
1285	49317	65731
1286	49355	65691
1287	49393	65653
1288	49431	65614
1289	49470	65576
1290	49509	65540
1291	49550	65504
1292	49589	65467
1293	49629	65431
1294	49668	65393
1295	49707	65355
1296	49744	65316
1297	49781	65276
